tol,oriSize,compressedsize,psnr,comp_ratio,is_quantimized,time
0,4294967296,1070774656,86.36953353881836,2.0,Yes,4.2912373542785645
0.001,4294967296,765424741,84.48348384904678,5.594797814354945,No,13.232147693634033
0,8589934592,2141198334,86.6335678100586,2.0,Yes,9.299281358718872
0.005,1073741824,80113635,64.91084695268499,13.39777554719618,No,3.2599029541015625
0,2147483648,536672250,85.523681640625,2.0,Yes,2.1929311752319336
0.005,2147483648,162033339,65.63268251308092,13.216720245455166,No,5.224696159362793
0,4294967296,1070774656,86.36953353881836,2.0,Yes,4.289869785308838
0.005,4294967296,452057581,70.94916005969932,9.473122115388216,No,13.080971479415894
0,8589934592,2141198334,86.6335678100586,2.0,Yes,8.609162092208862
0.01,1073741824,60688411,60.58117196515225,17.68615263299611,No,3.2439260482788086
0,2147483648,536672250,85.523681640625,2.0,Yes,2.1594204902648926
0.01,2147483648,122461219,61.27058577412541,17.48757140821863,No,5.188330411911011
0,4294967296,1070774656,86.36953353881836,2.0,Yes,4.2904462814331055
0.01,4294967296,332661157,65.79997359253977,12.873149082446076,No,13.06789517402649
0,8589934592,2141198334,86.6335678100586,2.0,Yes,8.60545563697815
0.02,1073741824,48807187,56.934628099874665,21.99152555134964,No,3.2580487728118896
0,2147483648,536672250,85.523681640625,2.0,Yes,2.1633660793304443
0.02,2147483648,98192395,57.62092211906075,21.80972683271449,No,5.206356763839722
0,4294967296,1070774656,86.36953353881836,2.0,Yes,4.283982753753662
0.02,4294967296,250654469,61.36111691813233,17.084860625405405,No,13.043850660324097
0,8589934592,2141198334,86.6335678100586,2.0,Yes,9.306140899658203
0.03,1073741824,44383371,55.0625602251871,24.183483043683186,No,3.2764978408813477
0,2147483648,536672250,85.523681640625,2.0,Yes,2.2423415184020996
0.03,2147483648,89107323,55.75114390123858,24.033370545763113,No,5.248166084289551
0,4294967296,1070774656,86.36953353881836,2.0,Yes,4.290725469589233
0.03,4294967296,217611885,59.12882761758198,19.679056904451702,No,13.056422710418701
0,8589934592,2141198334,86.6335678100586,2.0,Yes,8.59078574180603
0.05,1073741824,40570667,52.89870215170289,26.45617090791236,No,3.2812447547912598
0,2147483648,536672250,85.523681640625,2.0,Yes,2.1670916080474854
0.05,2147483648,81283299,53.58165127114205,26.346732211250433,No,5.216785430908203
0,4294967296,1070774656,86.36953353881836,2.0,Yes,4.569415330886841
0.05,4294967296,188387525,56.59077153773158,22.731848449094493,No,13.121047019958496
0,8589934592,2141198334,86.6335678100586,2.0,Yes,8.600966691970825
0.1,1073741824,37442291,50.0351798986673,28.66663527613735,No,3.2621829509735107
0,2147483648,536672250,85.523681640625,2.0,Yes,2.160353660583496
0.1,2147483648,74854219,50.6190724085791,28.609600642550287,No,5.229327917098999
0,4294967296,1070774656,86.36953353881836,2.0,Yes,4.293102025985718
0.1,4294967296,164155469,53.59503341229156,26.087444384810595,No,13.099652767181396
0,8589934592,2141198334,86.6335678100586,2.0,Yes,8.751384496688843
0.5,1073741824,34602739,43.33697894893617,31.019061814730907,No,3.2220799922943115
0,2147483648,536672250,85.523681640625,2.0,Yes,2.332078456878662
0.5,2147483648,69022699,44.12681908280403,31.026739652704684,No,5.20089316368103
0,4294967296,1070774656,86.36953353881836,2.0,Yes,4.293169021606445
0.5,4294967296,141688309,46.9418292993016,30.22406504971416,No,13.12883710861206
0,8589934592,2141198334,86.6335678100586,2.0,Yes,8.60763144493103
1,1073741824,34198227,40.187961036786334,31.385969219983245,No,3.2559704780578613
0,2147483648,536672250,85.523681640625,2.0,Yes,2.161367893218994
1,2147483648,68186675,41.322809926488176,31.407152673157917,No,5.230355978012085
0,4294967296,1070774656,86.36953353881836,2.0,Yes,4.291297912597656
1,4294967296,138357557,44.18206494653654,30.951664374935444,No,13.045132637023926
0,8589934592,2141198334,86.6335678100586,2.0,Yes,8.609806537628174
