tol,oriSize,compressedsize,psnr,max_error,comp_ratio,method,time,timespte
1e-05,1073741824,523094035,117.43339789058567,1.248699903055872e-05,2.051915006065783,MGARD,7.530011892318726,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,numpy,2.164950132369995,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,cupy,2.154618740081787,62
1e-05,2147483648,1051047067,117.8933760103949,2.4544429374606658e-05,2.0375389259328003,MGARD,8.6591796875,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,2.0,numpy,4.288492918014526,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,2.0,cupy,4.2924230098724365,62
1e-05,4294967296,2777304941,124.1398360621848,1.2764804626586024e-05,1.5419252689112615,MGARD,24.089643239974976,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,2.0,numpy,8.646093606948853,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,2.0,cupy,9.977604627609253,62
5e-05,1073741824,331586243,103.45452535321209,6.137632770919499e-05,3.2369994915621394,MGARD,5.762683391571045,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,numpy,2.1588776111602783,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,cupy,2.1595449447631836,62
5e-05,2147483648,665117371,103.91405208493086,0.00010871389772115769,3.2198066166580395,MGARD,8.65390157699585,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,2.0,numpy,4.299788475036621,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,2.0,cupy,4.304371118545532,62
5e-05,4294967296,1608313117,110.16023004126284,7.078978967939298e-05,2.662663521633145,MGARD,19.463077545166016,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,2.0,numpy,8.646044254302979,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,2.0,cupy,8.634052038192749,62
0.0001,1073741824,281316051,97.4331905954167,0.00011856363388984548,3.8154399515582567,MGARD,5.531219720840454,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,numpy,2.1790599822998047,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,cupy,2.1555213928222656,62
0.0001,2147483648,564178699,97.89321200966728,0.00019591344814129386,3.7958705562543757,MGARD,8.626881122589111,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,2.0,numpy,4.300610065460205,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,2.0,cupy,4.3294758796691895,62
0.0001,4294967296,1345450133,104.13972980563926,0.00012605689584746504,3.1828728266958373,MGARD,19.407255172729492,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,2.0,numpy,8.631698846817017,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,2.0,cupy,8.567033529281616,62
0.0005,1073741824,188698667,83.46156455560417,0.0007641871061597749,5.688140340705216,MGARD,5.623163938522339,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,numpy,2.166165590286255,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,cupy,2.1792027950286865,62
0.0005,2147483648,378784459,83.9206690429193,0.001047727260852227,5.653741227012695,MGARD,8.49785590171814,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,2.0,numpy,4.2965192794799805,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,2.0,cupy,4.296221494674683,62
0.0005,4294967296,917011221,90.1610596923349,0.0007757400928168345,4.669950127033396,MGARD,19.396053075790405,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,2.0,numpy,8.6331946849823,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,2.0,cupy,8.610999584197998,62
0.001,1073741824,153705859,77.50815168774292,0.0010623586053715162,6.983107260732331,MGARD,5.403820037841797,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,numpy,2.1460514068603516,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,cupy,2.151418685913086,62
0.001,2147483648,313644611,77.95935473999565,0.001860417539557152,6.827948693816391,MGARD,8.442427635192871,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,2.0,numpy,4.298694372177124,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,2.0,cupy,4.302354097366333,62
0.001,4294967296,767455165,84.1458258490853,0.001192183664844082,5.579995892007581,MGARD,19.168245553970337,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,2.0,numpy,8.625431537628174,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,2.0,cupy,8.56277847290039,62
0.005,1073741824,81275003,64.89248189998816,0.005114666863708761,13.206329872420921,MGARD,5.392409801483154,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,numpy,2.1641945838928223,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,cupy,2.285247802734375,62
0.005,2147483648,163757067,65.30541542205843,0.009715994888648077,13.077599344155328,MGARD,8.402085304260254,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,2.0,numpy,4.294445753097534,62
0,2147483648,1070774656,86.07681274414062,0.0019369125,2.0,cupy,4.29359769821167,62
0.005,4294967296,454015757,70.60661133826099,0.007651578804240333,9.432264413677608,MGARD,19.036920070648193,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,2.0,numpy,8.619429111480713,62
0,4294967296,2141198334,86.29881858825684,0.0019521713,2.0,cupy,8.619688749313354,62
0.01,1073741824,61492787,60.51315270290616,0.011623001120661058,17.45480327635825,MGARD,5.337726831436157,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,numpy,2.508542537689209,62
0,1073741824,536672250,85.57561874389648,0.0013885498,2.0,cupy,2.1526918411254883,62
