tol,OriSize,total_latency,load_time,transfer_time,comp_time,decomp_time
1e-05,100,1.0951568366007112,0.05,0.4779343363057984,0.33035805458048656,0.23686444571442614
1e-05,200,2.0498056591015077,0.1,0.9558686726115968,0.5960306461403292,0.3979063403495817
1e-05,300,2.9852120323525195,0.15,1.4338030089173954,0.8524972754851253,0.5489117479499988
1e-05,400,3.9361935140330684,0.2,1.9117373452231936,1.1198219396234097,0.7046342291864652
1e-05,500,4.868190192412219,0.25,2.389671681528992,1.3793407541213776,0.8491777567618496
1e-05,600,5.819163752581353,0.3,2.867606017834791,1.6455884239504883,1.0059693107960732
1e-05,700,6.768893800024318,0.35,3.345540354140589,1.9110137764649502,1.1623396694187782
1e-05,800,7.713210782242347,0.4,3.823474690446387,2.1740061887638964,1.3157299030320635
1e-05,900,8.65223238704571,0.45,4.301409026752186,2.4345989594388637,1.4662244008546614
1e-05,1000,9.586072540902828,0.5,4.779343363057984,2.6928247821833184,1.613904395661526
1e-05,1100,10.533082528924854,0.55,5.257277699363782,2.955866921287251,1.7699379082738207
1e-05,1200,11.484337750682588,0.6,5.735212035669582,3.2202641176813245,1.9288615973316814
1e-05,1300,12.434560254692592,0.65,6.2131463719753794,3.483954162214383,2.087459720502827
1e-05,1400,13.383753873560833,0.7,6.691080708281178,3.7469398881005676,2.245733277179086
1e-05,1500,14.331922420692106,0.75,7.169015044586977,4.009224113439119,2.4036832626660116
1e-05,1600,15.27906969041157,0.8,7.646949380892774,4.270809641315044,2.561310668203751
1e-05,1700,16.225199458085314,0.85,8.124883717198573,4.531699259898965,2.7186164809877775
1e-05,1800,17.170315480240067,0.9,8.602818053504372,4.791895742546193,2.8756016841895007
1e-05,1900,18.114421494681906,0.95,9.08075238981017,5.051401847894988,3.032267256976748
1e-05,2000,19.05752122061416,1.0,9.558686726115967,5.310220319964067,3.1886141745341265
1e-05,2100,20.012019754565703,1.05,10.036621062421768,5.583596606095138,3.3418020860487982
1e-05,2200,20.978847413401404,1.1,10.514555398727564,5.8726051947111735,3.491686819962667
1e-05,2300,21.947179207308757,1.15,10.992489735033363,6.163907756576045,3.6407817156993474
1e-05,2400,22.91704878418095,1.2,11.470424071339163,6.457531712748504,3.789093000093282
1e-05,2500,23.888490165414836,1.25,11.94835840764496,6.753504923073264,3.9366268346966096
1e-05,2600,24.86153775557618,1.3,12.426292743950759,7.051855694992967,4.083389316632454
1e-05,2700,25.836226352264767,1.35,12.904227080256558,7.352612792573341,4.22938647943487
1e-05,2800,26.81259115618566,1.4,13.382161416562356,7.65580544574763,4.3746242938756765
1e-05,2900,27.790667781433097,1.45,13.860095752868153,7.961463359786524,4.519108668778419
1e-05,3000,28.770492265993703,1.5,14.338030089173953,8.269616725000033,4.662845451819716
1e-05,3100,29.75210108247586,1.55,14.815964425479752,8.580296226677941,4.805840430318167
1e-05,3200,30.735531149072422,1.6,15.293898761785549,8.89353305527576,4.948099332011109
1e-05,3300,31.720819840763983,1.65,15.771833098091347,9.209358916853244,5.0896278258193925
1e-05,3400,32.70800500077035,1.7,16.249767434397146,9.527806043772799,5.230431522600406
1e-05,3500,33.69712495225792,1.75,16.727701770702943,9.848907205665409,5.3705159758895675
1e-05,3600,34.6882185103111,1.8,17.205636107008743,10.172695720671877,5.509886682630482
1e-05,3700,35.681324994175995,1.85,17.68357044331454,10.499205466967492,5.6485490838939585
1e-05,3800,36.67648423978494,1.9,18.16150477962034,10.828470894578494,5.786508565586107
1e-05,3900,37.67373661257081,1.95,18.63943911592614,11.160527037498996,5.923770459145678
5e-05,100,0.9047443134312919,0.05,0.28752181313637926,0.33035805458048656,0.23686444571442614
5e-05,200,1.6689806127626694,0.1,0.5750436262727585,0.5960306461403292,0.3979063403495817
5e-05,300,2.413974462844262,0.15,0.8625654394091378,0.8524972754851253,0.5489117479499988
5e-05,400,3.174543421355392,0.2,1.150087252545517,1.1198219396234097,0.7046342291864652
5e-05,500,3.9161275765651236,0.25,1.4376090656818963,1.3793407541213776,0.8491777567618496
5e-05,600,4.676688613564837,0.3,1.7251308788182755,1.6455884239504883,1.0059693107960732
5e-05,700,5.436006137838383,0.35,2.0126526919546546,1.9110137764649502,1.1623396694187782
5e-05,800,6.189910596886993,0.4,2.300174505091034,2.1740061887638964,1.3157299030320635
5e-05,900,6.938519678520938,0.45,2.587696318227413,2.4345989594388637,1.4662244008546614
5e-05,1000,7.6819473092086366,0.5,2.8752181313637926,2.6928247821833184,1.613904395661526
5e-05,1100,8.438544774061244,0.55,3.1627399445001716,2.955866921287251,1.7699379082738207
5e-05,1200,9.199387472649558,0.6,3.450261757636551,3.2202641176813245,1.9288615973316814
5e-05,1300,9.959197453490141,0.65,3.73778357077293,3.483954162214383,2.087459720502827
5e-05,1400,10.717978549188963,0.7,4.025305383909309,3.7469398881005676,2.245733277179086
5e-05,1500,11.47573457315082,0.75,4.312827197045689,4.009224113439119,2.4036832626660116
5e-05,1600,12.232469319700863,0.8,4.600349010182068,4.270809641315044,2.561310668203751
